Month,hiking: (United States)
2004-01,41
2004-02,42
2004-03,50
2004-04,56
2004-05,58
2004-06,64
2004-07,65
2004-08,60
2004-09,53
2004-10,45
2004-11,36
2004-12,33
2005-01,38
2005-02,40
2005-03,45
2005-04,49
2005-05,57
2005-06,57
2005-07,65
2005-08,52
2005-09,44
2005-10,41
2005-11,34
2005-12,29
2006-01,36
2006-02,35
2006-03,38
2006-04,40
2006-05,47
2006-06,49
2006-07,53
2006-08,45
2006-09,44
2006-10,37
2006-11,29
2006-12,30
2007-01,31
2007-02,32
2007-03,38
2007-04,38
2007-05,48
2007-06,53
2007-07,57
2007-08,46
2007-09,41
2007-10,35
2007-11,28
2007-12,26
2008-01,29
2008-02,30
2008-03,41
2008-04,39
2008-05,49
2008-06,48
2008-07,50
2008-08,49
2008-09,35
2008-10,36
2008-11,30
2008-12,25
2009-01,31
2009-02,31
2009-03,38
2009-04,41
2009-05,47
2009-06,52
2009-07,56
2009-08,48
2009-09,42
2009-10,35
2009-11,33
2009-12,25
2010-01,33
2010-02,31
2010-03,39
2010-04,41
2010-05,45
2010-06,47
2010-07,49
2010-08,45
2010-09,39
2010-10,33
2010-11,27
2010-12,24
2011-01,31
2011-02,31
2011-03,35
2011-04,41
2011-05,45
2011-06,51
2011-07,55
2011-08,48
2011-09,40
2011-10,37
2011-11,29
2011-12,29
2012-01,34
2012-02,34
2012-03,39
2012-04,43
2012-05,49
2012-06,48
2012-07,51
2012-08,47
2012-09,43
2012-10,35
2012-11,30
2012-12,27
2013-01,34
2013-02,36
2013-03,43
2013-04,44
2013-05,47
2013-06,50
2013-07,54
2013-08,51
2013-09,41
2013-10,37
2013-11,33
2013-12,31
2014-01,39
2014-02,37
2014-03,44
2014-04,47
2014-05,52
2014-06,56
2014-07,59
2014-08,56
2014-09,45
2014-10,42
2014-11,34
2014-12,34
2015-01,45
2015-02,41
2015-03,51
2015-04,54
2015-05,63
2015-06,65
2015-07,72
2015-08,68
2015-09,58
2015-10,49
2015-11,48
2015-12,41
2016-01,48
2016-02,54
2016-03,64
2016-04,65
2016-05,74
2016-06,75
2016-07,78
2016-08,67
2016-09,61
2016-10,59
2016-11,53
2016-12,43
2017-01,50
2017-02,56
2017-03,64
2017-04,72
2017-05,75
2017-06,77
2017-07,87
2017-08,73
2017-09,64
2017-10,59
2017-11,52
2017-12,46
2018-01,52
2018-02,54
2018-03,61
2018-04,64
2018-05,70
2018-06,76
2018-07,83
2018-08,72
2018-09,64
2018-10,57
2018-11,51
2018-12,48
2019-01,52
2019-02,48
2019-03,67
2019-04,64
2019-05,70
2019-06,80
2019-07,79
2019-08,71
2019-09,61
2019-10,57
2019-11,52
2019-12,45
2020-01,53
2020-02,54
2020-03,58
2020-04,62
2020-05,99
2020-06,97
2020-07,100
2020-08,93
2020-09,78
2020-10,79
2020-11,67
2020-12,59
2021-01,64
2021-02,58
2021-03,71
2021-04,73
2021-05,78
2021-06,78
2021-07,73
2021-08,69
2021-09,68
2021-10,67
2021-11,58
2021-12,51
2022-01,57
2022-02,62
2022-03,73
2022-04,70
2022-05,71
2022-06,71
2022-07,75
2022-08,70
2022-09,61
2022-10,62
2022-11,49
2022-12,45
2023-01,54
2023-02,54
2023-03,58
2023-04,62
2023-05,68
2023-06,75
2023-07,77
2023-08,67
2023-09,64
2023-10,62
